E.C,TDS,Cl,NO3 ,Na,T.H,Mg,SAR,Ca,K,Classification
3380,2163.2,570,154.5721,589.2740193,359.8848684,68.068,13.50540662,32.0,51.6,Bad
3260,2086.4,550,126.00505,409.5295499,739.7779605,131.274,6.546462941,80.0,12.7,Bad
1685,1078.4,80,108.5105,279.7578626,239.9424342,34.034,7.852373252,40.0,2.2,Poor
1509,965.76,200,92.5661,87.94870116,559.8930921,63.206,1.616028589,120.0,8.57,Poor
923,590.72,50,65.1063,75.48433963,299.9342105,38.896,1.895029704,56.0,1.63,Poor
1059,677.76,150,80.38635,33.46075998,459.8930921,63.206,0.678390131,80.0,1.69,Poor
1305,835.2,220,77.5075,79.92125619,479.9506579,29.172,1.586120469,144.0,4.17,Poor
1185,758.4,170,70.4211,107.3902156,359.9424342,34.034,2.461049525,88.0,3.93,Poor
980,627.2,50,12.246185,70.54645356,339.9013158,58.344,1.663684335,40.0,1.28,Poor
985,630.4,70,52.97084,80.46929257,319.9342105,38.896,1.956014214,64.0,2.0,Poor
3590,2297.6,720,143.9425,409.1738344,679.8355263,97.24,6.823042712,112.0,190.5,Bad
624,399.36,60,34.5462,42.2707476,219.9917763,4.862,1.239107169,80.0,2.53,Moderate
935,598.4,80,33.88185,77.92151393,299.9671053,19.448,1.956107552,88.0,2.2,Poor
1218,779.52,100,81.9365,106.1481337,379.9342105,38.896,2.367719913,88.0,3.44,Poor
522,334.08,30,5.602685,19.47194868,219.9753289,14.586,0.570813969,64.0,1.02,Moderate
684,437.76,40,50.9335,45.93396045,239.9753289,14.586,1.289207307,72.0,4.37,Moderate
940,601.6,80,17.250955,51.24898723,359.9259868,43.758,1.174494127,72.0,2.63,Poor
881,563.84,40,14.460685,65.56554923,299.9671053,19.448,1.645928827,88.0,1.88,Poor
639,408.96,50,15.169325,37.77247864,239.9671053,19.448,1.060160922,64.0,0.48,Moderate
685,438.4,20,8.63655,47.25617918,239.9588816,24.31,1.326362864,56.0,2.53,Moderate
959,613.76,100,39.19665,65.10218026,339.9424342,34.034,1.535200161,80.0,2.21,Poor
600,384.0,60,35.432,27.65815402,239.9835526,9.724,0.776255367,80.0,2.26,Moderate
1020,652.8,100,106.7389,52.25441718,399.9177632,48.62,1.136082382,80.0,1.24,Poor
443,283.52,20,31.003,57.0,119.9671053,19.448,2.262642445,16.0,3.0,Moderate
722,462.08,70,31.40563636,89.0,199.9506579,29.172,2.736533392,32.0,5.0,Moderate
666,426.24,50,45.49790909,75.0,179.9506579,29.172,2.430841869,24.0,4.0,Moderate
872,558.08,80,142.3319545,114.0,219.9424342,34.034,3.342123558,32.0,2.0,Poor
352,225.28,20,20.73577273,44.0,99.97532895,14.586,1.913279506,16.0,4.0,Moderate
2430,1555.2,400,221.45,129.4793928,939.6628289,199.342,1.8364825,48.0,4.7,Bad
1014,648.96,190,62.006,100.3156578,279.9259868,43.758,2.606869437,40.0,11.0,Poor
940,601.6,120,86.3655,84.85990054,279.9917763,4.862,2.204966748,104.0,8.0,Poor
2530,1619.2,380,243.595,168.6257531,899.8190789,106.964,2.444097167,184.0,8.8,Bad
1092,698.88,80,12.4012,94.36825248,339.9177632,48.62,2.225415695,56.0,5.0,Poor
1435,918.4,150,66.435,125.7870809,439.84375,92.378,2.607708184,24.0,8.9,Poor
